date,ppi,ppi_yoy_change
1913-01-01,12.1,
1913-02-01,12.0,
1913-03-01,12.0,
1913-04-01,12.0,
1913-05-01,11.9,
1913-06-01,11.9,
1913-07-01,12.0,
1913-08-01,12.0,
1913-09-01,12.2,
1913-10-01,12.2,
1913-11-01,12.1,
1913-12-01,11.9,
1914-01-01,11.8,-2.4793388429751984
1914-02-01,11.8,-1.6666666666666607
1914-03-01,11.7,-2.500000000000002
1914-04-01,11.7,-2.500000000000002
1914-05-01,11.6,-2.5210084033613467
1914-06-01,11.6,-2.5210084033613467
1914-07-01,11.6,-3.3333333333333326
1914-08-01,12.0,0.0
1914-09-01,12.1,-0.8196721311475419
1914-10-01,11.7,-4.098360655737709
1914-11-01,11.7,-3.3057851239669422
1914-12-01,11.6,-2.5210084033613467
1915-01-01,11.8,0.0
1915-02-01,11.8,0.0
1915-03-01,11.8,0.8547008547008739
1915-04-01,11.8,0.8547008547008739
1915-05-01,11.9,2.586206896551735
1915-06-01,11.8,1.7241379310344973
1915-07-01,11.9,2.586206896551735
1915-08-01,11.8,-1.6666666666666607
1915-09-01,11.8,-2.4793388429751984
1915-10-01,12.1,3.418803418803429
1915-11-01,12.3,5.128205128205132
1915-12-01,12.8,10.344827586206895
1916-01-01,13.3,12.71186440677965
1916-02-01,13.5,14.406779661016934
1916-03-01,13.9,17.796610169491522
1916-04-01,14.1,19.491525423728806
1916-05-01,14.2,19.327731092436974
1916-06-01,14.3,21.18644067796609
1916-07-01,14.4,21.00840336134453
1916-08-01,14.7,24.576271186440657
1916-09-01,15.0,27.118644067796605
1916-10-01,15.7,29.75206611570247
1916-11-01,16.8,36.58536585365852
1916-12-01,17.1,33.59375
1917-01-01,17.6,32.33082706766916
1917-02-01,18.0,33.33333333333333
1917-03-01,18.5,33.09352517985611
1917-04-01,19.7,39.71631205673758
1917-05-01,20.8,46.47887323943662
1917-06-01,21.0,46.85314685314685
1917-07-01,21.2,47.22222222222221
1917-08-01,21.5,46.25850340136055
1917-09-01,21.3,42.000000000000014
1917-10-01,21.1,34.39490445859874
1917-11-01,21.2,26.190476190476186
1917-12-01,21.2,23.976608187134495
1918-01-01,21.6,22.72727272727273
1918-02-01,21.1,17.22222222222223
1918-03-01,21.8,17.83783783783783
1918-04-01,22.1,12.182741116751284
1918-05-01,22.1,6.25
1918-06-01,22.2,5.714285714285716
1918-07-01,22.7,7.0754716981132
1918-08-01,23.2,7.906976744186034
1918-09-01,23.7,11.267605633802802
1918-10-01,23.5,11.374407582938373
1918-11-01,23.5,10.8490566037736
1918-12-01,23.5,10.8490566037736
1919-01-01,23.2,7.407407407407396
1919-02-01,22.4,6.16113744075828
1919-03-01,22.6,3.669724770642202
1919-04-01,22.9,3.6199095022624306
1919-05-01,23.3,5.429864253393668
1919-06-01,23.4,5.405405405405395
1919-07-01,24.3,7.048458149779746
1919-08-01,24.9,7.3275862068965525
1919-09-01,24.3,2.5316455696202667
1919-10-01,24.4,3.8297872340425476
1919-11-01,24.9,5.957446808510625
1919-12-01,26.0,10.63829787234043
1920-01-01,27.2,17.24137931034482
1920-02-01,27.1,20.98214285714286
1920-03-01,27.3,20.79646017699115
1920-04-01,28.5,24.45414847161573
1920-05-01,28.8,23.605150214592264
1920-06-01,28.7,22.649572649572658
1920-07-01,28.6,17.695473251028805
1920-08-01,27.8,11.646586345381538
1920-09-01,26.8,10.288065843621407
1920-10-01,24.9,2.049180327868849
1920-11-01,23.0,-7.630522088353409
1920-12-01,20.8,-19.999999999999996
1921-01-01,19.6,-27.941176470588225
1921-02-01,18.1,-33.21033210332103
1921-03-01,17.7,-35.164835164835175
1921-04-01,17.0,-40.35087719298246
1921-05-01,16.6,-42.36111111111111
1921-06-01,16.1,-43.90243902439024
1921-07-01,16.1,-43.70629370629371
1921-08-01,16.1,-42.086330935251794
1921-09-01,16.1,-39.92537313432835
1921-10-01,16.2,-34.93975903614458
1921-11-01,16.2,-29.565217391304355
1921-12-01,16.0,-23.076923076923084
